"","country","continent","year","lifeExp","pop","gdpPercap","popInMillions"
"854","Kuwait","Asia",1957,58,212846,113523.1329,0.212846
"857","Kuwait","Asia",1972,67.7,841934,109347.867,0.841934
"853","Kuwait","Asia",1952,55.6,160000,108382.3529,0.16
"855","Kuwait","Asia",1962,60.5,358266,95458.11176,0.358266
"856","Kuwait","Asia",1967,64.6,575003,80894.88326,0.575003
"858","Kuwait","Asia",1977,69.3,1140357,59265.47714,1.140357
"1152","Norway","Europe",2007,80.2,4627926,49357.19017,4.627926
"864","Kuwait","Asia",2007,77.6,2505559,47306.98978,2.505559
"1368","Singapore","Asia",2007,80,4553009,47143.17964,4.553009
"1151","Norway","Europe",2002,79,4535591,44683.97525,4.535591
"1620","United States","Americas",2007,78.2,301139947,42951.65309,301.139947
"1150","Norway","Europe",1997,78.3,4405672,41283.16433,4.405672
"756","Ireland","Europe",2007,78.9,4109086,40675.99635,4.109086
"862","Kuwait","Asia",1997,76.2,1765345,40300.61996,1.765345
"672","Hong Kong, China","Asia",2007,82.2,6980412,39724.97867,6.980412
"1619","United States","Americas",2002,77.3,287675526,39097.09955,287.675526
"1488","Switzerland","Europe",2007,81.7,7554661,37506.41907,7.554661
"1092","Netherlands","Europe",2007,79.8,16570613,36797.93332,16.570613
"252","Canada","Americas",2007,80.7,33390141,36319.23501,33.390141
"696","Iceland","Europe",2007,81.8,301931,36180.78919,0.301931
"84","Austria","Europe",2007,79.8,8199783,36126.4927,8.199783
"1367","Singapore","Asia",2002,78.8,4197776,36023.1054,4.197776
"1618","United States","Americas",1997,76.8,272911760,35767.43303,272.91176
"420","Denmark","Europe",2007,78.3,5468120,35278.41874,5.46812
"863","Kuwait","Asia",2002,76.9,2111561,35110.10566,2.111561
"861","Kuwait","Asia",1992,75.2,1418095,34932.91959,1.418095
"1487","Switzerland","Europe",2002,80.6,7361757,34480.95771,7.361757
"72","Australia","Oceania",2007,81.2,20434176,34435.36744,20.434176
"1314","Saudi Arabia","Asia",1977,58.7,8128505,34167.7626,8.128505
"755","Ireland","Europe",2002,77.8,3879155,34077.04939,3.879155
"1149","Norway","Europe",1992,77.3,4286357,33965.66115,4.286357
"1476","Sweden","Europe",2007,80.9,9031088,33859.74835,9.031088
"1091","Netherlands","Europe",2002,78.5,16122830,33724.75778,16.12283
"1315","Saudi Arabia","Asia",1982,63,11254672,33693.17525,11.254672
"120","Belgium","Europe",2007,79.4,10392226,33692.60508,10.392226
"1366","Singapore","Asia",1997,77.2,3802309,33519.4766,3.802309
"251","Canada","Americas",2002,79.8,31902268,33328.96507,31.902268
"528","Finland","Europe",2007,79.3,5238460,33207.0844,5.23846
"1608","United Kingdom","Europe",2007,79.4,60776238,33203.26128,60.776238
"83","Austria","Europe",2002,79,8148312,32417.60769,8.148312
"576","Germany","Europe",2007,79.4,82400996,32170.37442,82.400996
"419","Denmark","Europe",2002,77.2,5374693,32166.50006,5.374693
"1486","Switzerland","Europe",1997,79.4,7193761,32135.32301,7.193761
"1617","United States","Americas",1992,76.1,256894189,32003.93224,256.894189
"1485","Switzerland","Europe",1992,78,6995447,31871.5303,6.995447
"804","Japan","Asia",2007,82.6,127467972,31656.06806,127.467972
"1148","Norway","Europe",1987,75.9,4186147,31540.9748,4.186147
"859","Kuwait","Asia",1982,71.3,1497494,31354.03573,1.497494
"695","Iceland","Europe",2002,80.5,288030,31163.20196,0.28803
"71","Australia","Oceania",2002,80.4,19546792,30687.75473,19.546792
"119","Belgium","Europe",2002,78.3,10311970,30485.88375,10.31197
"540","France","Europe",2007,80.7,61083916,30470.0167,61.083916
"1484","Switzerland","Europe",1987,77.4,6649942,30281.70459,6.649942
"1090","Netherlands","Europe",1997,78,15604464,30246.13063,15.604464
"671","Hong Kong, China","Asia",2002,81.5,6762476,30209.01516,6.762476
"575","Germany","Europe",2002,78.7,82350671,30035.80198,82.350671
"1616","United States","Americas",1987,75,242803533,29884.35041,242.803533
"418","Denmark","Europe",1997,76.1,5283663,29804.34567,5.283663
"96","Bahrain","Asia",2007,75.6,708573,29796.04834,0.708573
"1607","United Kingdom","Europe",2002,78.5,59912431,29478.99919,59.912431
"1475","Sweden","Europe",2002,80,8954175,29341.63093,8.954175
"82","Austria","Europe",1997,77.5,8069876,29095.92066,8.069876
"250","Canada","Americas",1997,78.6,30305843,28954.92589,30.305843
"539","France","Europe",2002,79.6,59925035,28926.03234,59.925035
"1428","Spain","Europe",2007,80.9,40448191,28821.0637,40.448191
"802","Japan","Asia",1997,80.7,125956499,28816.58499,125.956499
"1512","Taiwan","Asia",2007,78.4,23174294,28718.27684,23.174294
"803","Japan","Asia",2002,82,127065841,28604.5919,127.065841
"780","Italy","Europe",2007,80.5,58147733,28569.7197,58.147733
"1483","Switzerland","Europe",1982,76.2,6468126,28397.71512,6.468126
"670","Hong Kong, China","Asia",1997,80,6495918,28377.63219,6.495918
"527","Finland","Europe",2002,78.4,5193039,28204.59057,5.193039
"860","Kuwait","Asia",1987,74.2,1891487,28118.42998,1.891487
"694","Iceland","Europe",1997,79,271192,28061.09966,0.271192
"779","Italy","Europe",2002,80.2,57926999,27968.09817,57.926999
"574","Germany","Europe",1997,77.3,82011073,27788.88416,82.011073
"118","Belgium","Europe",1997,77.5,10199787,27561.19663,10.199787
"600","Greece","Europe",2007,79.5,10706290,27538.41188,10.70629
"1481","Switzerland","Europe",1972,73.8,6401400,27195.11304,6.4014
"81","Austria","Europe",1992,76,7914969,27042.01868,7.914969
"70","Australia","Oceania",1997,78.8,18565243,26997.93657,18.565243
"1482","Switzerland","Europe",1977,75.4,6316424,26982.29052,6.316424
"692","Iceland","Europe",1987,77.2,244676,26923.20628,0.244676
"801","Japan","Asia",1992,79.4,124329269,26824.89511,124.329269
"1089","Netherlands","Europe",1992,77.4,15174244,26790.94961,15.174244
"248","Canada","Americas",1987,76.9,26549700,26626.51503,26.5497
"573","Germany","Europe",1992,76.1,80597764,26505.30317,80.597764
"417","Denmark","Europe",1992,75.3,5171393,26406.73985,5.171393
"249","Canada","Americas",1992,78,28523502,26342.88426,28.523502
"1147","Norway","Europe",1982,76,4114787,26298.63531,4.114787
"1606","United Kingdom","Europe",1997,77.2,58808266,26074.53136,58.808266
"538","France","Europe",1997,78.6,58623428,25889.78487,58.623428
"1392","Slovenia","Europe",2007,77.9,2009245,25768.25759,2.009245
"117","Belgium","Europe",1992,76.5,10045622,25575.57069,10.045622
"768","Israel","Asia",2007,80.7,6426679,25523.2771,6.426679
"1474","Sweden","Europe",1997,79.4,8897619,25266.59499,8.897619
"1104","New Zealand","Oceania",2007,80.2,4115771,25185.00911,4.115771
"693","Iceland","Europe",1992,78.8,259012,25144.39201,0.259012
"416","Denmark","Europe",1987,74.8,5127024,25116.17581,5.127024
"1615","United States","Americas",1982,74.7,232187835,25009.55914,232.187835
"1317","Saudi Arabia","Asia",1992,68.8,16945857,24841.61777,16.945857
"1313","Saudi Arabia","Asia",1972,53.9,6472756,24837.42865,6.472756
"1427","Spain","Europe",2002,79.8,40152517,24835.47166,40.152517
"1365","Singapore","Asia",1992,75.8,3235865,24769.8912,3.235865
"669","Hong Kong, China","Asia",1992,77.6,5829696,24757.60301,5.829696
"537","France","Europe",1992,77.5,57374179,24703.79615,57.374179
"778","Italy","Europe",1997,78.8,57479469,24675.02446,57.479469
"572","Germany","Europe",1987,74.8,77718298,24639.18566,77.718298
"754","Ireland","Europe",1997,76.1,3667233,24521.94713,3.667233
"1614","United States","Americas",1977,73.4,220239000,24072.63213,220.239
"1473","Sweden","Europe",1992,78.2,8718867,23880.01683,8.718867
"526","Finland","Europe",1997,77.1,5134406,23723.9502,5.134406
"80","Austria","Europe",1987,74.9,7578903,23687.82607,7.578903
"1088","Netherlands","Europe",1987,76.8,14665278,23651.32361,14.665278
"1472","Sweden","Europe",1987,77.2,8421403,23586.92927,8.421403
"69","Australia","Oceania",1992,77.6,17481977,23424.76683,17.481977
"95","Bahrain","Asia",2002,74.8,656397,23403.55927,0.656397
"852","Korea, Rep.","Asia",2007,78.6,49044790,23348.13973,49.04479
"1146","Norway","Europe",1977,75.4,4043205,23311.34939,4.043205
"691","Iceland","Europe",1982,77,233997,23269.6075,0.233997
"1511","Taiwan","Asia",2002,77,22454239,23235.42329,22.454239
"1103","New Zealand","Oceania",2002,79.1,3908037,23189.80135,3.908037
"1480","Switzerland","Europe",1967,72.8,6063000,22966.14432,6.063
"247","Canada","Americas",1982,75.8,25201900,22898.79214,25.2019
"408","Czech Republic","Europe",2007,76.5,10228744,22833.30851,10.228744
"1605","United Kingdom","Europe",1992,76.4,57866349,22705.09254,57.866349
"116","Belgium","Europe",1987,75.3,9870200,22525.56308,9.8702
"599","Greece","Europe",2002,78.3,10603863,22514.2548,10.603863
"800","Japan","Asia",1987,78.7,122091325,22375.94189,122.091325
"1164","Oman","Asia",2007,75.6,3204897,22316.19287,3.204897
"246","Canada","Americas",1977,74.2,23796400,22090.88306,23.7964
"536","France","Europe",1987,76.3,55630100,22066.44214,55.6301
"571","Germany","Europe",1982,73.8,78335266,22031.53274,78.335266
"777","Italy","Europe",1992,77.4,56840847,22013.64486,56.840847
"906","Libya","Africa",1977,57.4,2721783,21951.21176,2.721783
"767","Israel","Asia",2002,79.7,6029529,21905.59514,6.029529
"68","Australia","Oceania",1987,76.3,16257249,21888.88903,16.257249
"1613","United States","Americas",1972,71.3,209896000,21806.03594,209.896
"546","Gabon","Africa",1977,52.8,706367,21745.57328,0.706367
"415","Denmark","Europe",1982,74.6,5117810,21688.04048,5.11781
"1604","United Kingdom","Europe",1987,75,56981620,21664.78767,56.98162
"1320","Saudi Arabia","Asia",2007,72.8,27601038,21654.83194,27.601038
"79","Austria","Europe",1982,73.2,7574613,21597.08362,7.574613
"1087","Netherlands","Europe",1982,76,14310401,21399.46046,14.310401
"1086","Netherlands","Europe",1977,75.2,13852989,21209.0592,13.852989
"1316","Saudi Arabia","Asia",1987,66.3,14619745,21198.26136,14.619745
"524","Finland","Europe",1987,74.8,4931729,21141.01223,4.931729
"1102","New Zealand","Oceania",1997,77.5,3676187,21050.41377,3.676187
"905","Libya","Africa",1972,52.8,2183877,21011.49721,2.183877
"115","Belgium","Europe",1982,73.9,9856303,20979.84589,9.856303
"766","Israel","Asia",1997,78.3,5531387,20896.60924,5.531387
"1471","Sweden","Europe",1982,76.4,8325260,20667.38125,8.32526
"1391","Slovenia","Europe",2002,76.7,2011497,20660.01936,2.011497
"525","Finland","Europe",1992,75.7,5041039,20647.16499,5.041039
"1318","Saudi Arabia","Asia",1997,70.5,21229759,20586.69019,21.229759
"570","Germany","Europe",1977,72.5,78160773,20512.92123,78.160773
"1248","Portugal","Europe",2007,78.1,10642836,20509.64777,10.642836
"1426","Spain","Europe",1997,78.8,39855442,20445.29896,39.855442
"1479","Switzerland","Europe",1962,71.3,5666000,20431.0927,5.666
"414","Denmark","Europe",1977,74.7,5088419,20422.9015,5.088419
"535","France","Europe",1982,74.9,54433565,20293.89746,54.433565
"94","Bahrain","Asia",1997,73.9,598561,20292.01679,0.598561
"1510","Taiwan","Asia",1997,75.2,21628605,20206.82098,21.628605
"668","Hong Kong, China","Asia",1987,76.2,5584510,20038.47269,5.58451
"1247","Portugal","Europe",2002,77.3,10433867,19970.90787,10.433867
"1163","Oman","Asia",2002,74.2,2713462,19774.83687,2.713462
"78","Austria","Europe",1977,72.2,7568430,19749.4223,7.56843
"1162","Oman","Asia",1997,72.5,2283635,19702.05581,2.283635
"690","Iceland","Europe",1977,76.1,221823,19654.96247,0.221823
"1612","United States","Americas",1967,70.8,198712000,19530.36557,198.712
"67","Australia","Oceania",1982,74.7,15184200,19477.00928,15.1842
"799","Japan","Asia",1982,77.1,118454974,19384.10571,118.454974
"90","Bahrain","Asia",1977,65.6,297410,19340.10196,0.29741
"1260","Puerto Rico","Americas",2007,78.7,3942491,19328.70901,3.942491
"851","Korea, Rep.","Asia",2002,77,47969150,19233.98818,47.96915
"91","Bahrain","Asia",1982,69.1,377967,19211.14731,0.377967
"776","Italy","Europe",1987,76.4,56729703,19207.23482,56.729703
"114","Belgium","Europe",1977,72.8,9821800,19117.97448,9.8218
"93","Bahrain","Asia",1992,72.6,529491,19035.57917,0.529491
"1319","Saudi Arabia","Asia",2002,71.6,24501530,19014.54118,24.50153
"1100","New Zealand","Oceania",1987,74.3,3317166,19007.19129,3.317166
"245","Canada","Americas",1972,72.9,22284500,18970.57086,22.2845
"1145","Norway","Europe",1972,74.3,3933004,18965.05551,3.933004
"413","Denmark","Europe",1972,73.5,4991596,18866.20721,4.991596
"1364","Singapore","Asia",1987,73.6,2794552,18861.53081,2.794552
"1470","Sweden","Europe",1977,75.4,8251648,18855.72521,8.251648
"1259","Puerto Rico","Americas",2002,77.8,3859606,18855.60618,3.859606
"1085","Netherlands","Europe",1972,73.8,13329874,18794.74567,13.329874
"904","Libya","Africa",1967,50.2,1759224,18772.75169,1.759224
"598","Greece","Europe",1997,77.9,10502372,18747.69814,10.502372
"1388","Slovenia","Europe",1987,72.2,1945870,18678.53492,1.94587
"1380","Slovak Republic","Europe",2007,74.7,5447502,18678.31435,5.447502
"1161","Oman","Asia",1992,71.2,1915208,18616.70691,1.915208
"1425","Spain","Europe",1992,77.6,39549438,18603.06452,39.549438
"523","Finland","Europe",1982,74.5,4826933,18533.15761,4.826933
"92","Bahrain","Asia",1987,70.8,454612,18524.02406,0.454612
"1101","New Zealand","Oceania",1992,76.3,3437674,18363.32494,3.437674
"66","Australia","Oceania",1977,73.5,14074100,18334.19751,14.0741
"534","France","Europe",1977,73.8,53165019,18292.63514,53.165019
"89","Bahrain","Asia",1972,63.3,230800,18268.65839,0.2308
"1603","United Kingdom","Europe",1982,74,56339704,18232.42452,56.339704
"1160","Oman","Asia",1987,67.7,1593882,18115.22313,1.593882
"765","Israel","Asia",1992,76.9,4936550,18051.52254,4.93655
"569","Germany","Europe",1972,71,78717088,18016.18027,78.717088
"684","Hungary","Europe",2007,73.3,9956108,18008.94444,9.956108
"1560","Trinidad and Tobago","Americas",2007,69.8,1056608,18008.50924,1.056608
"1478","Switzerland","Europe",1957,70.6,5126000,17909.48973,5.126
"1387","Slovenia","Europe",1982,71.1,1861252,17866.72175,1.861252
"1469","Sweden","Europe",1972,74.7,8122293,17832.02464,8.122293
"1246","Portugal","Europe",1997,76,10156415,17641.03156,10.156415
"1099","New Zealand","Oceania",1982,73.8,3210650,17632.4104,3.21065
"407","Czech Republic","Europe",2002,75.5,10256295,17596.21022,10.256295
"753","Ireland","Europe",1992,75.5,3557761,17558.81555,3.557761
"597","Greece","Europe",1992,77,10325429,17541.49634,10.325429
"1602","United Kingdom","Europe",1977,72.8,56179000,17428.74846,56.179
"907","Libya","Africa",1982,62.2,3344074,17364.27538,3.344074
"1390","Slovenia","Europe",1997,75.1,2011612,17161.10735,2.011612
"764","Israel","Asia",1987,75.6,4203148,17122.47986,4.203148
"1258","Puerto Rico","Americas",1997,74.9,3759430,16999.4333,3.75943
"1312","Saudi Arabia","Asia",1967,49.9,5618198,16903.04886,5.618198
"65","Australia","Oceania",1972,71.9,13177000,16788.62948,13.177
"113","Belgium","Europe",1972,71.4,9709100,16672.14356,9.7091
"77","Austria","Europe",1972,70.6,7544201,16661.6256,7.544201
"798","Japan","Asia",1977,75.4,113872473,16610.37701,113.872473
"775","Italy","Europe",1982,75,56535636,16537.4835,56.535636
"1144","Norway","Europe",1967,74.1,3786019,16361.87647,3.786019
"404","Czech Republic","Europe",1987,71.6,10311597,16310.4434,10.311597
"1098","New Zealand","Oceania",1977,72.2,3164900,16233.7177,3.1649
"1245","Portugal","Europe",1992,74.9,9927680,16207.26663,9.92768
"1611","United States","Americas",1962,70.2,186538000,16173.14586,186.538
"596","Greece","Europe",1987,76.7,9974490,16120.52839,9.97449
"533","France","Europe",1972,72.4,51732000,16107.19171,51.732
"244","Canada","Americas",1967,72.1,20819767,16076.58803,20.819767
"406","Czech Republic","Europe",1997,74,10300707,16048.51424,10.300707
"1097","New Zealand","Oceania",1972,71.9,2929100,16046.03728,2.9291
"850","Korea, Rep.","Asia",1997,74.6,46173816,15993.52796,46.173816
"412","Denmark","Europe",1967,73,4838800,15937.21123,4.8388
"1601","United Kingdom","Europe",1972,72,56079000,15895.11641,56.079
"1340","Serbia","Europe",1987,71.2,9230783,15870.87851,9.230783
"689","Iceland","Europe",1972,74.5,209275,15798.06362,0.209275
"1424","Spain","Europe",1987,76.9,38880702,15764.98313,38.880702
"522","Finland","Europe",1977,72.5,4738902,15605.42283,4.738902
"1236","Poland","Europe",2007,75.6,38518241,15389.92468,38.518241
"403","Czech Republic","Europe",1982,71,10303704,15377.22855,10.303704
"763","Israel","Asia",1982,74.5,3858421,15367.0292,3.858421
"1084","Netherlands","Europe",1967,73.8,12596822,15363.25136,12.596822
"1386","Slovenia","Europe",1977,71,1746919,15277.03017,1.746919
"595","Greece","Europe",1982,75.2,9786480,15268.42089,9.78648
"1468","Sweden","Europe",1967,74.2,7867931,15258.29697,7.867931
"1509","Taiwan","Asia",1992,74.3,20686918,15215.6579,20.686918
"1339","Serbia","Europe",1982,70.2,9032824,15181.0927,9.032824
"1363","Singapore","Asia",1982,71.8,2651869,15169.16112,2.651869
"547","Gabon","Africa",1982,56.6,753874,15113.36194,0.753874
"1610","United States","Americas",1957,69.5,171984000,14847.12712,171.984
"683","Hungary","Europe",2002,72.6,10083313,14843.93556,10.083313
"88","Bahrain","Asia",1967,59.9,202182,14804.6727,0.202182
"402","Czech Republic","Europe",1977,70.7,10161915,14800.16062,10.161915
"797","Japan","Asia",1972,73.4,107188273,14778.78636,107.188273
"568","Germany","Europe",1967,70.8,76368453,14745.62561,76.368453
"1477","Switzerland","Europe",1952,69.6,4815000,14734.23275,4.815
"550","Gabon","Africa",1997,60.5,1126189,14722.84188,1.126189
"738","Iraq","Asia",1977,60.4,11882916,14688.23507,11.882916
"1257","Puerto Rico","Americas",1992,73.9,3585176,14641.58711,3.585176
"384","Croatia","Europe",2007,75.7,4493312,14619.22272,4.493312
"667","Hong Kong, China","Asia",1982,75.5,5264500,14560.53051,5.2645
"64","Australia","Oceania",1967,71.1,11872264,14526.12465,11.872264
"739","Iraq","Asia",1982,62,14173318,14517.90711,14.173318
"1096","New Zealand","Oceania",1967,71.5,2728150,14463.91893,2.72815
"521","Finland","Europe",1972,70.9,4639657,14358.8759,4.639657
"405","Czech Republic","Europe",1992,72.4,10315702,14297.02122,10.315702
"774","Italy","Europe",1977,73.5,56059245,14255.98475,56.059245
"1389","Slovenia","Europe",1992,73.6,1999210,14214.71681,1.99921
"594","Greece","Europe",1977,73.7,9308479,14195.52428,9.308479
"1600","United Kingdom","Europe",1967,71.4,54959000,14142.85089,54.959
"1609","United States","Americas",1952,68.4,157553000,13990.48208,157.553
"1423","Spain","Europe",1982,76.3,37983310,13926.16997,37.98331
"752","Ireland","Europe",1987,74.4,3539900,13872.86652,3.5399
"380","Croatia","Europe",1987,71.5,4484310,13822.58394,4.48431
"1379","Slovak Republic","Europe",2002,73.8,5410052,13638.77837,5.410052
"411","Denmark","Europe",1962,72.3,4646899,13583.31351,4.646899
"549","Gabon","Africa",1992,61.4,985739,13522.15752,0.985739
"243","Canada","Americas",1962,71.3,18985849,13462.48555,18.985849
"1143","Norway","Europe",1962,73.5,3638919,13450.40151,3.638919
"688","Iceland","Europe",1967,73.7,198676,13319.89568,0.198676
"762","Israel","Asia",1977,73.1,3495918,13306.61921,3.495918
"1422","Spain","Europe",1977,74.4,36439000,13236.92117,36.439
"379","Croatia","Europe",1982,70.5,4413368,13221.82184,4.413368
"552","Gabon","Africa",2007,56.7,1454867,13206.48452,1.454867
"1095","New Zealand","Oceania",1962,71.2,2488550,13175.678,2.48855
"288","Chile","Americas",2007,78.6,16284741,13171.63885,16.284741
"112","Belgium","Europe",1967,70.9,9556500,13149.04119,9.5565
"1638","Venezuela","Americas",1977,67.5,13503563,13143.95095,13.503563
"401","Czech Republic","Europe",1972,70.3,9862158,13108.4536,9.862158
"1244","Portugal","Europe",1987,74.1,9915289,13039.30876,9.915289
"532","France","Europe",1967,71.5,49569000,12999.91766,49.569
"680","Hungary","Europe",1987,69.6,10612740,12986.47998,10.61274
"1338","Serbia","Europe",1977,70.3,8686367,12980.66956,8.686367
"1159","Oman","Asia",1982,62.7,1301048,12954.79101,1.301048
"567","Germany","Europe",1962,70.3,73739117,12902.46291,73.739117
"76","Austria","Europe",1967,70.1,7376998,12834.6024,7.376998
"1083","Netherlands","Europe",1962,73.2,11805689,12790.84956,11.805689
"761","Israel","Asia",1972,71.6,3095893,12786.93223,3.095893
"60","Argentina","Americas",2007,75.3,40301927,12779.37964,40.301927
"87","Bahrain","Asia",1962,56.9,171863,12753.27514,0.171863
"593","Greece","Europe",1972,72.3,8888628,12724.82957,8.888628
"751","Ireland","Europe",1982,73.1,3480000,12618.32141,3.48
"168","Botswana","Africa",2007,50.7,1639131,12569.85177,1.639131
"679","Hungary","Europe",1982,69.4,10705535,12545.99066,10.705535
"551","Gabon","Africa",2002,56.8,1299304,12521.71392,1.299304
"242","Canada","Americas",1957,70,17010154,12489.95006,17.010154
"1599","United Kingdom","Europe",1962,70.8,53292000,12477.17707,53.292
"948","Malaysia","Asia",2007,74.2,24821286,12451.6558,24.821286
"1385","Slovenia","Europe",1972,69.8,1694510,12383.4862,1.69451
"1467","Sweden","Europe",1962,73.4,7561588,12329.44192,7.561588
"1256","Puerto Rico","Americas",1987,74.6,3444468,12281.34191,3.444468
"773","Italy","Europe",1972,72.2,54365564,12269.27378,54.365564
"1094","New Zealand","Oceania",1957,70.3,2229407,12247.39532,2.229407
"63","Australia","Oceania",1962,70.9,10794968,12217.22686,10.794968
"492","Equatorial Guinea","Africa",2007,51.6,551201,12154.08975,0.551201
"1378","Slovak Republic","Europe",1997,72.7,5383010,12126.23065,5.38301
"849","Korea, Rep.","Asia",1992,72.2,43805450,12104.27872,43.80545
"912","Libya","Africa",2007,74,6036914,12057.49928,6.036914
"1376","Slovak Republic","Europe",1987,71.1,5199318,12037.26758,5.199318
"1235","Poland","Europe",2002,74.7,38625976,12002.23908,38.625976
"996","Mexico","Americas",2007,76.2,108700891,11977.57496,108.700891
"726","Iran","Asia",1977,57.7,35480679,11888.59508,35.480679
"548","Gabon","Africa",1987,60.2,880397,11864.40844,0.880397
"1158","Oman","Asia",1977,57.4,1004533,11848.34392,1.004533
"908","Libya","Africa",1987,66.2,3799845,11770.5898,3.799845
"1243","Portugal","Europe",1982,72.8,9859650,11753.84291,9.85965
"1016","Montenegro","Europe",1987,74.9,569473,11732.51017,0.569473
"682","Hungary","Europe",1997,71,10244684,11712.7768,10.244684
"678","Hungary","Europe",1977,70,10637171,11674.83737,10.637171
"1142","Norway","Europe",1957,73.4,3491938,11653.97304,3.491938
"740","Iraq","Asia",1987,65,16543189,11643.57268,16.543189
"86","Bahrain","Asia",1957,53.8,138655,11635.79945,0.138655
"383","Croatia","Europe",2002,74.9,4481020,11628.38895,4.48102
"1311","Saudi Arabia","Asia",1962,45.9,4943029,11626.41975,4.943029
"732","Iran","Asia",2007,71,69453570,11605.71449,69.45357
"1559","Trinidad and Tobago","Americas",2002,69,1101832,11460.60023,1.101832
"1644","Venezuela","Americas",2007,73.7,26084662,11415.80569,26.084662
"545","Gabon","Africa",1972,48.7,537977,11401.94841,0.537977
"400","Czech Republic","Europe",1967,70.4,9835109,11399.44489,9.835109
"241","Canada","Americas",1952,68.8,14785584,11367.16112,14.785584
"1375","Slovak Republic","Europe",1982,70.8,5048043,11348.54585,5.048043
"378","Croatia","Europe",1977,70.6,4318673,11305.38517,4.318673
"1598","United Kingdom","Europe",1957,70.4,51430000,11283.17795,51.43
"1082","Netherlands","Europe",1957,73,11026383,11276.19344,11.026383
"1015","Montenegro","Europe",1982,74.1,562548,11222.58762,0.562548
"1362","Singapore","Asia",1977,70.8,2325300,11210.08948,2.3253
"666","Hong Kong, China","Asia",1977,73.6,4583700,11186.14125,4.5837
"1639","Venezuela","Americas",1982,68.6,15620766,11152.41011,15.620766
"750","Ireland","Europe",1977,72,3271900,11150.98113,3.2719
"410","Denmark","Europe",1957,71.8,4487831,11099.65935,4.487831
"1508","Taiwan","Asia",1987,73.4,19757799,11054.56175,19.757799
"167","Botswana","Africa",2002,46.6,1630347,11003.60508,1.630347
"111","Belgium","Europe",1962,70.2,9218400,10991.20676,9.2184
"58","Argentina","Americas",1997,73.3,36203463,10967.28195,36.203463
"984","Mauritius","Africa",2007,72.8,1250882,10956.99112,1.250882
"62","Australia","Oceania",1957,70.3,9712569,10949.64959,9.712569
"1374","Slovak Republic","Europe",1977,70.5,4827803,10922.66404,4.827803
"520","Finland","Europe",1967,69.8,4605744,10921.63626,4.605744
"1284","Romania","Europe",2007,72.5,22276056,10808.47561,22.276056
"287","Chile","Americas",2002,77.9,15497046,10778.78385,15.497046
"75","Austria","Europe",1962,69.5,7129864,10750.72111,7.129864
"995","Mexico","Americas",2002,74.9,102479927,10742.44053,102.479927
"1641","Venezuela","Americas",1992,71.2,20265563,10733.92631,20.265563
"192","Bulgaria","Europe",2007,73,7322858,10680.79282,7.322858
