ID	Submission Date	Name	Team	Eligible	Censor	Number of Calls (Censored)	True Positives (Censored)	False Negatives (Censored)	Sensitivity (Censored)	Precision (Censored)	Balanced Accuracy (Censored)	Number of Calls (All)	True Positives (All)	False Negatives (All)	Sensitivity (All)	Precision (All)	Balanced Accuracy (All)
4257406	2015-05-29 16:44:23	ML_S43	Grigoriev-Lab	FALSE	Mask	10349	9778	2086	0.8242	0.9448	0.8845	14223	13461	2807	0.8275	0.9464	0.8869
2826115	2014-11-17 18:19:25	somac-syn4-rf460-17Nov2014	somac	FALSE	Mask	9109	8872	2992	0.7478	0.9740	0.8609	12547	12226	4042	0.7515	0.9744	0.8630
2559951	2014-08-02 23:39:58	MuTect-RSp2	Broad SMC	TRUE	Mask	8919	8754	3110	0.7379	0.9815	0.8597	12272	12059	4209	0.7413	0.9826	0.8620
2549704	2014-08-01 18:17:12	MuTect-RSp	Broad SMC	TRUE	Mask	8924	8754	3110	0.7379	0.9810	0.8594	12282	12059	4209	0.7413	0.9818	0.8616
2528605	2014-07-25 16:11:22	MuTect-R	Broad SMC	TRUE	Mask	8928	8754	3110	0.7379	0.9805	0.8592	12288	12059	4209	0.7413	0.9814	0.8613
2551259	2014-08-01 20:47:17	viper.v4e	WashU	TRUE	Mask	9180	8899	2965	0.7501	0.9694	0.8597	12617	12240	4028	0.7524	0.9701	0.8613
2550743	2014-08-01 20:09:22	viper.v4d	WashU	TRUE	Mask	9166	8888	2976	0.7492	0.9697	0.8594	12597	12224	4044	0.7514	0.9704	0.8609
2547019	2014-07-31 15:44:05	viper.v4	WashU	TRUE	Mask	9219	8915	2949	0.7514	0.9670	0.8592	12672	12264	4004	0.7539	0.9678	0.8608
2549352	2014-08-01 16:26:04	MuTect-Rlaf	Broad SMC	TRUE	Mask	8912	8739	3125	0.7366	0.9806	0.8586	12266	12038	4230	0.7400	0.9814	0.8607
2546815	2014-07-31 02:36:24	MuTect-R1	Broad SMC	TRUE	Mask	8944	8755	3109	0.7379	0.9789	0.8584	12310	12062	4206	0.7415	0.9799	0.8607
2549515	2014-08-01 17:18:02	MuTect-RE	Broad SMC	TRUE	Mask	8907	8736	3128	0.7363	0.9808	0.8586	12260	12034	4234	0.7397	0.9816	0.8607
2546203	2014-07-30 22:54:25	viper.v3d	WashU	TRUE	Mask	9173	8890	2974	0.7493	0.9691	0.8592	12607	12224	4044	0.7514	0.9696	0.8605
2554556	2014-08-01 22:46:15	bassViper.snv.v3	WashU	TRUE	Mask	9329	8972	2892	0.7562	0.9617	0.8590	12827	12337	3931	0.7584	0.9618	0.8601
2538084	2014-07-30 01:37:34	viper.v3c	WashU	TRUE	Mask	9272	8932	2932	0.7529	0.9633	0.8581	12751	12285	3983	0.7552	0.9635	0.8593
2550088	2014-08-01 19:01:00	viper.v4b	WashU	TRUE	Mask	9121	8845	3019	0.7455	0.9697	0.8576	12536	12166	4102	0.7478	0.9705	0.8592
2550492	2014-08-01 19:42:29	viper.v4c	WashU	TRUE	Mask	9172	8871	2993	0.7477	0.9672	0.8575	12609	12205	4063	0.7502	0.9680	0.8591
2554019	2014-08-01 22:14:11	bassViper.snv.v2	WashU	TRUE	Mask	9511	9031	2833	0.7612	0.9495	0.8554	13094	12425	3843	0.7638	0.9489	0.8563
2506859	2014-06-30 08:53:44	mutect_filters	SLC_platform	TRUE	Mask	8805	8637	3227	0.7280	0.9809	0.8545	12131	11889	4379	0.7308	0.9801	0.8554
2507098	2014-07-01 07:46:55	mutect_routine	SLC_platform	TRUE	Mask	8805	8637	3227	0.7280	0.9809	0.8545	12131	11889	4379	0.7308	0.9801	0.8554
2559914	2014-08-02 22:50:12	RT2.S12345.f1ex0.2.min3_map_samid	BinaTeam	TRUE	Mask	8983	8735	3129	0.7363	0.9724	0.8543	12393	12032	4236	0.7396	0.9709	0.8552
2559903	2014-08-02 22:34:39	RT2.S12345.f1ex.min3_map_HSid	BinaTeam	TRUE	Mask	8982	8734	3130	0.7362	0.9724	0.8543	12393	12031	4237	0.7396	0.9708	0.8552
2559890	2014-08-02 22:13:42	RT2.S12345.f1ex.min3_map_samid	BinaTeam	TRUE	Mask	8983	8735	3129	0.7363	0.9724	0.8543	12395	12032	4236	0.7396	0.9707	0.8552
2559953	2014-08-02 23:52:26	RT2.S12345.f1.ex02.min3_map3_samid.SB	BinaTeam	TRUE	Mask	8978	8730	3134	0.7358	0.9724	0.8541	12386	12026	4242	0.7392	0.9709	0.8551
2559924	2014-08-02 23:08:34	RT2.S12345.f1ex0.2.min3_map.ls1_samid	BinaTeam	TRUE	Mask	8962	8721	3143	0.7351	0.9731	0.8541	12362	12012	4256	0.7384	0.9717	0.8550
2559885	2014-08-02 21:52:42	RT2.S12345.f1ex.min3_map	BinaTeam	TRUE	Mask	8988	8737	3127	0.7364	0.9721	0.8543	12402	12034	4234	0.7397	0.9703	0.8550
2559937	2014-08-02 23:27:06	RT2.S12345.f1.ex02.min3_map3_samid.vcf	BinaTeam	TRUE	Mask	8995	8739	3125	0.7366	0.9715	0.8541	12408	12037	4231	0.7399	0.9701	0.8550
2559957	2014-08-02 23:56:35	RT2.S12345.f1.ex02.min3_map3_samid.SBHLA	BinaTeam	TRUE	Mask	8975	8727	3137	0.7356	0.9724	0.8540	12383	12023	4245	0.7391	0.9709	0.8550
2559876	2014-08-02 21:18:09	RT2.S12345.f1.ex.min3	BinaTeam	TRUE	Mask	9051	8761	3103	0.7385	0.9680	0.8532	12486	12067	4201	0.7418	0.9664	0.8541
2559860	2014-08-02 20:46:21	RT2.S12345.f1.min3	BinaTeam	TRUE	Mask	9059	8762	3102	0.7385	0.9672	0.8529	12494	12068	4200	0.7418	0.9659	0.8539
2552217	2014-08-01 21:40:17	bassViper.snv.v1	WashU	TRUE	Mask	9671	9078	2786	0.7652	0.9387	0.8519	13312	12497	3771	0.7682	0.9388	0.8535
2510567	2014-07-11 20:40:14	MuTectStock	Broad SMC	TRUE	Mask	9365	8916	2948	0.7515	0.9521	0.8518	12879	12260	4008	0.7536	0.9519	0.8528
2534769	2014-07-28 22:25:06	viper.v3b	WashU	TRUE	Mask	9405	8932	2932	0.7529	0.9497	0.8513	12932	12285	3983	0.7552	0.9500	0.8526
2519983	2014-07-21 03:06:37	MuTect-E	Broad SMC	TRUE	Mask	9324	8896	2968	0.7498	0.9541	0.8520	12833	12232	4036	0.7519	0.9532	0.8525
2511776	2014-07-15 23:50:28	MuTectFilter1	Broad SMC	TRUE	Mask	9329	8894	2970	0.7497	0.9534	0.8515	12838	12229	4039	0.7517	0.9526	0.8521
2559850	2014-08-02 20:30:28	RT2.S12345.f1.min2	BinaTeam	TRUE	Mask	9327	8875	2989	0.7481	0.9515	0.8498	12853	12220	4048	0.7512	0.9508	0.8510
2558106	2014-08-02 03:40:48	3.5to4_S.12345_f1_map	BinaTeam	TRUE	Mask	9192	8793	3071	0.7411	0.9566	0.8489	12679	12113	4155	0.7446	0.9554	0.8500
2559848	2014-08-02 20:19:01	RT2.S12345.f1	BinaTeam	TRUE	Mask	9481	8935	2929	0.7531	0.9424	0.8478	13058	12306	3962	0.7565	0.9424	0.8494
2554760	2014-08-01 23:30:31	3.5to4_S.12345_f1	BinaTeam	TRUE	Mask	9258	8817	3047	0.7432	0.9524	0.8478	12770	12149	4119	0.7468	0.9514	0.8491
2524232	2014-07-22 20:26:40	MuTect-ELL7	Broad SMC	TRUE	Mask	8952	8657	3207	0.7297	0.9670	0.8484	12315	11894	4374	0.7311	0.9658	0.8485
2518521	2014-07-17 14:57:10	MuTectStock1	Broad SMC	TRUE	Mask	9465	8916	2948	0.7515	0.9420	0.8468	13001	12260	4008	0.7536	0.9430	0.8483
2559565	2014-08-02 05:41:46	3.5to4_S.12345_f1_mapdp	BinaTeam	TRUE	Mask	9147	8748	3116	0.7374	0.9564	0.8469	12619	12053	4215	0.7409	0.9551	0.8480
